index	prediction
0	130
1	68
2	115
3	153
4	134
5	64
6	37
7	137
8	173
9	27
10	174
11	46
12	46
13	170
14	16
15	137
16	172
17	137
18	173
19	167
20	174
21	172
22	160
23	46
24	58
25	195
26	170
27	171
28	137
29	143
30	120
31	120
32	91
33	25
34	103
35	130
36	68
37	115
38	153
39	132
40	5
41	138
42	10
43	187
44	190
45	187
46	137
47	173
48	27
49	0
50	172
51	170
52	134
53	64
54	37
55	91
56	147
57	91
58	108
59	147
60	130
61	68
62	115
63	136
64	147
65	34
66	127
67	38
68	200
69	137
70	173
71	27
72	174
73	172
74	46
75	195
76	58
77	195
78	170
79	171
80	17
81	112
82	143
83	120
84	105
85	136
86	147
87	34
88	16
89	127
90	38
91	177
92	91
93	68
94	115
95	115
96	132
97	5
98	190
99	79
100	164
101	66
102	79
103	132
104	132
105	5
106	190
107	164
108	99
109	136
110	147
111	38
112	200
113	58
114	40
115	136
116	147
117	34
118	127
119	34
120	126
121	175
122	40
123	137
124	173
125	34
126	174
127	172
128	46
129	160
130	52
131	195
132	120
133	120
134	110
135	66
136	74
137	136
138	147
139	34
140	127
141	34
142	136
143	147
144	38
145	108
146	147
147	132
148	79
149	190
150	136
151	147
152	34
153	16
154	127
155	130
156	68
157	115
158	153
159	136
160	147
161	34
162	16
163	85
164	71
165	37
166	52
167	52
168	71
169	37
170	71
171	134
172	64
173	37
174	132
175	5
176	190
177	16
178	177
179	136
180	147
181	16
182	177
183	108
184	126
185	136
186	147
187	34
188	16
189	85
190	136
191	5
192	164
193	79
194	138
195	5
196	190
197	184
198	79
199	164
200	91
201	55
202	55
203	91
204	91
205	130
206	68
207	115
208	153
209	91
210	25
211	55
212	55
213	91
214	25
215	91
216	136
217	147
218	34
219	16
220	127
221	177
222	136
223	147
224	34
225	38
226	127
227	136
228	147
229	34
230	127
231	85
232	136
233	147
234	34
235	17
236	147
237	134
238	64
239	37
240	136
241	147
242	34
243	16
244	127
245	137
246	173
247	27
248	174
249	172
250	46
251	195
252	58
253	195
254	170
255	112
256	143
257	136
258	147
259	34
260	16
261	127
262	128
263	58
264	58
265	179
266	136
267	147
268	167
269	16
270	127
271	130
272	68
273	115
274	153
275	134
276	64
277	37
278	117
279	25
280	52
281	52
282	117
283	25
284	117
285	91
286	147
287	71
288	17
289	75
290	117
291	136
292	147
293	27
294	16
295	127
296	91
297	25
298	52
299	52
300	91
301	25
302	91
303	136
304	147
305	34
306	127
307	108
308	136
309	147
310	34
311	16
312	127
313	177
314	85
315	34
316	5
317	190
318	79
319	164
320	66
321	150
322	136
323	147
324	34
325	127
326	38
327	130
328	68
329	115
330	153
331	136
332	147
333	34
334	127
335	108
336	136
337	147
338	34
339	16
340	164
341	38
342	177
343	175
344	135
345	79
346	190
347	27
348	68
349	115
350	153
351	134
352	64
353	37
354	110
355	190
356	67
357	136
358	34
359	34
360	126
361	175
362	40
363	137
364	173
365	25
366	174
367	172
368	160
369	46
370	58
371	195
372	170
373	171
374	17
375	137
376	143
377	120
378	105
379	134
380	64
381	37
382	136
383	147
384	34
385	127
386	38
387	139
388	200
389	34
390	5
391	134
392	64
393	136
394	147
395	34
396	127
397	34
398	126
399	175
400	40
401	136
402	147
403	34
404	16
405	38
406	177
407	40
408	130
409	68
410	115
411	153
412	130
413	68
414	115
415	153
416	117
417	25
418	55
419	55
420	167
421	102
422	137
423	173
424	172
425	46
426	46
427	195
428	136
429	147
430	34
431	34
432	108
433	161
434	185
435	130
436	68
437	115
438	136
439	147
440	34
441	16
442	127
443	20
444	25
445	52
446	52
447	20
448	130
449	68
450	115
451	153
452	136
453	147
454	34
455	16
456	108
457	134
458	64
459	37
460	136
461	122
462	38
463	122
464	58
465	136
466	37
467	55
468	55
469	136
470	37
471	136
472	136
473	147
474	34
475	16
476	177
477	127
478	110
479	190
480	131
481	5
482	190
483	79
484	127
485	147
486	34
487	16
488	127
489	137
490	173
491	160
492	46
493	55
494	46
495	17
496	172
497	136
498	147
499	34
500	16
501	127
502	177
503	134
504	64
505	37
506	136
507	147
508	16
509	122
510	108
511	175
512	128
513	25
514	153
515	59
516	99
517	38
518	137
519	173
520	174
521	160
522	46
523	195
524	172
525	136
526	147
527	34
528	200
529	175
530	137
531	173
532	34
533	174
534	172
535	160
536	46
537	58
538	195
539	170
540	171
541	16
542	137
543	143
544	195
545	188
546	136
547	147
548	34
549	16
550	200
551	132
552	68
553	115
554	167
555	137
556	173
557	27
558	172
559	160
560	46
561	170
562	171
563	15
564	112
565	143
566	136
567	147
568	34
569	16
570	40
571	134
572	64
573	130
574	68
575	115
576	153
577	132
578	37
579	55
580	52
581	132
582	37
583	132
584	130
585	167
586	52
587	52
588	130
589	167
590	130
591	136
592	122
593	38
594	122
595	175
596	134
597	64
598	37
599	30
600	83
601	71
602	59
603	2
604	136
605	147
606	37
607	16
608	127
609	136
610	147
611	34
612	127
613	127
614	136
615	147
616	34
617	16
618	34
619	177
620	136
621	147
622	16
623	177
624	108
625	126
626	136
627	147
628	34
629	106
630	175
631	136
632	147
633	34
634	16
635	127
636	85
637	136
638	147
639	34
640	127
641	85
642	110
643	27
644	38
645	131
646	153
647	136
648	147
649	34
650	34
651	40
652	119
653	136
654	147
655	136
656	164
657	136
658	137
659	173
660	27
661	174
662	172
663	58
664	195
665	170
666	171
667	17
668	172
669	130
670	68
671	115
672	153
673	137
674	173
675	27
676	172
677	160
678	46
679	58
680	170
681	171
682	137
683	173
684	24
685	172
686	46
687	46
688	15
689	112
690	136
691	147
692	34
693	127
694	38
695	136
696	147
697	34
698	16
699	108
700	136
701	147
702	34
703	17
704	127
705	38
706	177
707	134
708	64
709	37
710	30
711	83
712	71
713	59
714	2
715	91
716	37
717	52
718	55
719	91
720	37
721	91
722	136
723	147
724	34
725	34
726	200
727	85
728	58
729	136
730	147
731	16
732	177
733	108
734	126
735	136
736	147
737	34
738	16
739	177
740	127
741	137
742	173
743	174
744	172
745	16
746	136
747	147
748	34
749	38
750	175
751	136
752	147
753	34
754	127
755	40
756	156
757	137
758	173
759	174
760	160
761	46
762	195
763	172
764	136
765	147
766	34
767	127
768	85
769	91
770	190
771	15
772	66
773	43
774	91
775	134
776	64
777	37
778	136
779	147
780	38
781	200
782	175
783	60
784	60
785	60
786	137
787	173
788	37
789	174
790	172
791	160
792	46
793	58
794	195
795	170
796	171
797	17
798	137
799	143
800	120
801	105
802	136
803	147
804	34
805	38
806	34
807	85
808	131
809	5
810	164
811	79
812	135
813	68
814	115
815	25
816	130
817	68
818	115
819	135
820	5
821	190
822	79
823	164
824	136
825	147
826	34
827	16
828	127
829	130
830	68
831	115
832	153
833	130
834	68
835	115
836	153
837	139
838	34
839	24
840	25
841	183
842	115
843	100
844	136
845	147
846	34
847	127
848	34
849	136
850	147
851	34
852	16
853	127
854	177
855	136
856	147
857	27
858	108
859	190
860	136
861	147
862	34
863	16
864	127
865	134
866	64
867	37
868	134
869	64
870	37
871	134
872	64
873	34
874	136
875	147
876	34
877	127
878	108
879	85
880	136
881	147
882	38
883	136
884	38
885	134
886	128
887	161
888	185
889	130
890	115
891	197
892	153
893	136
894	147
895	34
896	38
897	34
898	136
899	147
900	34
901	127
902	96
903	132
904	5
905	190
906	66
907	181
908	136
909	147
910	34
911	38
912	108
913	136
914	25
915	58
916	52
917	34
918	102
919	136
920	147
921	161
922	185
923	30
924	83
925	71
926	59
927	2
928	117
929	167
930	52
931	52
932	117
933	167
934	117
935	130
936	68
937	115
938	27
939	134
940	64
941	37
942	136
943	147
944	34
945	38
946	85
947	34
948	34
949	16
950	173
951	177
952	132
953	91
954	37
955	52
956	52
957	91
958	25
959	91
960	136
961	147
962	34
963	38
964	200
965	85
966	134
967	64
968	37
969	137
970	173
971	37
972	174
973	172
974	46
975	46
976	58
977	195
978	170
979	171
980	17
981	137
982	143
983	120
984	105
985	188
986	136
987	147
988	34
989	127
990	127
991	132
992	5
993	9
994	185
995	187
996	127
997	5
998	128
999	104
1000	166
1001	58
1002	141
1003	33
1004	130
1005	68
1006	115
1007	153
1008	27
1009	34
1010	52
1011	55
1012	27
1013	34
1014	27
1015	134
1016	64
1017	37
1018	30
1019	74
1020	93
1021	140
1022	199
1023	95
1024	113
1025	121
1026	136
1027	147
1028	136
1029	16
1030	127
1031	34
1032	108
1033	127
1034	199
1035	175
1036	156
1037	17
1038	161
1039	127
1040	136
1041	147
1042	34
1043	16
1044	200
1045	85
1046	136
1047	147
1048	34
1049	16
1050	177
1051	136
1052	147
1053	16
1054	177
1055	108
1056	126
1057	136
1058	147
1059	34
1060	127
1061	38
1062	132
1063	132
1064	134
1065	64
1066	110
1067	83
1068	71
1069	132
1070	91
1071	5
1072	164
1073	16
1074	148
1075	136
1076	147
1077	161
1078	194
1079	130
1080	68
1081	115
1082	115
1083	136
1084	147
1085	38
1086	200
1087	175
1088	3
1089	137
1090	173
1091	34
1092	174
1093	172
1094	195
1095	136
1096	147
1097	34
1098	16
1099	108
1100	130
1101	25
1102	55
1103	55
1104	130
1105	25
1106	130
1107	134
1108	64
1109	37
1110	136
1111	147
1112	34
1113	16
1114	127
1115	136
1116	147
1117	108
1118	137
1119	173
1120	37
1121	174
1122	172
1123	160
1124	160
1125	58
1126	46
1127	120
1128	120
1129	136
1130	147
1131	38
1132	108
1133	127
1134	136
1135	147
1136	34
1137	127
1138	34
1139	126
1140	175
1141	40
1142	30
1143	74
1144	93
1145	140
1146	199
1147	95
1148	113
1149	121
1150	130
1151	153
1152	55
1153	55
1154	130
1155	153
1156	130
1157	136
1158	147
1159	34
1160	127
1161	38
1162	130
1163	68
1164	115
1165	91
1166	175
1167	52
1168	167
1169	117
1170	136
1171	16
1172	5
1173	79
1174	130
1175	68
1176	153
1177	153
1178	134
1179	64
1180	37
1181	130
1182	68
1183	115
1184	110
1185	67
1186	136
1187	147
1188	34
1189	177
1190	85
1191	130
1192	147
1193	34
1194	16
1195	54
1196	30
1197	83
1198	71
1199	59
1200	2
1201	137
1202	173
1203	25
1204	172
1205	160
1206	160
1207	58
1208	195
1209	170
1210	171
1211	112
1212	136
1213	147
1214	34
1215	16
1216	177
1217	136
1218	147
1219	167
1220	122
1221	172
1222	5
1223	95
1224	136
1225	147
1226	34
1227	16
1228	127
1229	177
1230	136
1231	147
1232	34
1233	34
1234	34
1235	108
1236	106
1237	30
1238	74
1239	93
1240	140
1241	199
1242	95
1243	113
1244	121
1245	136
1246	147
1247	34
1248	127
1249	38
1250	126
1251	147
1252	34
1253	16
1254	126
1255	136
1256	147
1257	34
1258	16
1259	127
1260	136
1261	167
1262	52
1263	52
1264	167
1265	117
1266	67
1267	130
1268	68
1269	115
1270	153
1271	136
1272	25
1273	55
1274	52
1275	167
1276	102
1277	34
1278	5
1279	104
1280	79
1281	164
1282	106
1283	148
1284	43
1285	134
1286	64
1287	37
1288	130
1289	68
1290	115
1291	136
1292	147
1293	34
1294	108
1295	85
1296	131
1297	5
1298	190
1299	79
1300	66
1301	43
1302	136
1303	147
1304	27
1305	119
1306	85
1307	136
1308	147
1309	34
1310	38
1311	175
1312	136
1313	147
1314	34
1315	16
1316	127
1317	134
1318	64
1319	37
1320	136
1321	147
1322	34
1323	16
1324	127
1325	34
1326	177
1327	91
1328	58
1329	58
1330	41
1331	136
1332	147
1333	34
1334	16
1335	127
1336	38
1337	177
1338	136
1339	147
1340	34
1341	16
1342	177
1343	85
1344	136
1345	147
1346	27
1347	127
1348	127
1349	136
1350	147
1351	34
1352	16
1353	127
1354	38
1355	177
1356	130
1357	68
1358	115
1359	136
1360	147
1361	34
1362	16
1363	127
1364	38
1365	177
1366	136
1367	147
1368	34
1369	127
1370	34
1371	126
1372	175
1373	40
1374	132
1375	5
1376	190
1377	79
1378	164
1379	16
1380	177
1381	137
1382	173
1383	25
1384	174
1385	172
1386	160
1387	46
1388	58
1389	195
1390	170
1391	171
1392	112
1393	143
1394	120
1395	105
1396	137
1397	173
1398	27
1399	172
1400	58
1401	120
1402	105
1403	131
1404	167
1405	55
1406	52
1407	131
1408	167
1409	131
1410	137
1411	173
1412	37
1413	174
1414	172
1415	160
1416	46
1417	58
1418	195
